iter	Passed	Remaining
0	43	174800
1	61	122737
2	99	132895
3	140	139998
4	188	150455
5	238	158705
6	287	164102
7	336	167866
8	387	171962
9	432	172503
10	485	175998
11	533	177154
12	565	173386
13	614	175063
14	663	176262
15	707	176183
16	755	176895
17	802	177595
18	847	177627
19	896	178449
20	946	179321
21	995	179979
22	1049	181548
23	1065	176544
24	1107	176123
25	1163	177851
26	1221	179734
27	1283	182079
28	1340	183512
29	1351	178871
30	1401	179373
31	1454	180344
32	1488	178993
33	1531	178620
34	1578	178797
35	1631	179593
36	1681	180151
37	1731	180512
38	1778	180672
39	1829	181118
40	1877	181295
41	1922	181137
42	1974	181740
43	1997	179565
44	2045	179738
45	2092	179856
46	2144	180354
47	2204	181509
48	2249	181414
49	2302	181920
50	2355	182354
51	2403	182500
52	2448	182333
53	2492	182106
54	2540	182228
55	2589	182376
56	2639	182567
57	2690	182847
58	2739	182983
59	2784	182832
60	2838	183284
61	2891	183676
62	2941	183833
63	2990	183893
64	3041	184142
65	3087	184061
66	3135	184078
67	3185	184194
68	3226	183789
69	3274	183829
70	3320	183755
71	3369	183801
72	3416	183809
73	3441	182560
74	3484	182369
75	3529	182236
76	3574	182129
77	3621	182105
78	3669	182144
79	3716	182088
80	3762	182032
81	3803	181749
82	3852	181824
83	3899	181787
84	3943	181616
85	3993	181745
86	4029	181240
87	4074	181130
88	4116	180915
89	4162	180841
90	4207	180739
91	4252	180642
92	4298	180575
93	4340	180351
94	4386	180299
95	4433	180302
96	4458	179382
97	4498	179118
98	4544	179055
99	4562	177930
100	4602	177675
101	4651	177744
102	4694	177621
103	4741	177609
104	4786	177570
105	4833	177570
106	4877	177445
107	4919	177282
108	4966	177273
109	5025	177710
110	5069	177605
111	5083	176485
112	5129	176432
113	5182	176644
114	5226	176561
115	5272	176542
116	5317	176472
117	5361	176371
118	5408	176375
119	5453	176343
120	5497	176226
121	5542	176192
122	5590	176211
123	5639	176295
124	5687	176327
125	5737	176393
126	5782	176344
127	5829	176331
128	5872	176214
129	5921	176269
130	5968	176290
131	6020	176412
132	6068	176451
133	6111	176327
134	6159	176332
135	6203	176248
136	6250	176246
137	6264	175317
138	6302	175075
139	6349	175069
140	6395	175031
141	6438	174921
142	6479	174765
143	6511	174354
144	6554	174251
145	6600	174244
146	6644	174156
147	6663	173438
148	6707	173356
149	6733	172834
150	6774	172671
151	6820	172660
152	6852	172300
153	6897	172266
154	6944	172276
155	6970	171769
156	7021	171858
157	7065	171818
158	7107	171694
159	7152	171657
160	7197	171631
161	7245	171650
162	7296	171756
163	7343	171761
164	7385	171654
165	7435	171738
166	7468	171425
167	7516	171438
168	7526	170612
169	7568	170510
170	7604	170285
171	7649	170252
172	7696	170256
173	7746	170323
174	7792	170323
175	7838	170305
176	7885	170325
177	7932	170316
178	7984	170439
179	8033	170483
180	8082	170531
181	8127	170496
182	8177	170572
183	8193	169922
184	8238	169883
185	8283	169848
186	8327	169795
187	8372	169760
188	8420	169781
189	8433	169109
190	8476	169034
191	8525	169082
192	8574	169129
193	8624	169192
194	8673	169253
195	8723	169308
196	8772	169349
197	8822	169412
198	8872	169466
199	8914	169383
200	8962	169388
201	9012	169458
202	9055	169371
203	9099	169330
204	9150	169389
205	9160	168704
206	9204	168656
207	9252	168683
