iter	TotalF1	MultiClass
103	0.4104102901	1.771514215
104	0.4114585	1.771373139
105	0.4109183162	1.771121305
106	0.4102581584	1.771045018
107	0.4107152669	1.770843766
108	0.4089672071	1.770585288
109	0.4131124869	1.770433491
110	0.4107817214	1.770322797
111	0.4089421037	1.770257771
112	0.4113868846	1.770075218
113	0.412874392	1.769889353
114	0.4114607035	1.769741143
115	0.4102390933	1.769533907
116	0.4077592503	1.769314836
117	0.4088287134	1.76922877
118	0.4045538006	1.768875707
119	0.4091804979	1.768744462
120	0.4061334971	1.768611569
121	0.4092707429	1.76845679
122	0.4099186928	1.768279635
123	0.4119181327	1.768171791
124	0.4144521921	1.767971196
125	0.4212207295	1.767705895
126	0.4181867905	1.7675837
127	0.4196056705	1.767310666
128	0.415675864	1.766881126
129	0.4192851406	1.766373435
130	0.420823532	1.766098426
131	0.4192763235	1.765850872
132	0.4216114826	1.765522289
133	0.4214467229	1.765422056
134	0.4216644417	1.765131245
135	0.4231965885	1.764740318
136	0.4195518808	1.764484997
137	0.4203610755	1.76448299
138	0.4229207379	1.764254059
139	0.4275014711	1.763729389
140	0.4253630534	1.763662103
141	0.4270373774	1.763474836
142	0.4297575589	1.763317047
143	0.4296577535	1.763307823
144	0.4317949027	1.762778907
145	0.4331952627	1.762542687
146	0.4326198075	1.762434261
147	0.4322507566	1.762429656
148	0.4372974598	1.762167171
149	0.4356197372	1.762149687
150	0.4387388049	1.76194264
151	0.4377432272	1.761673371
152	0.4380714765	1.761606488
153	0.4400137961	1.761220684
154	0.4403803798	1.760937371
155	0.4399187565	1.760922196
156	0.443978635	1.760633237
157	0.444701276	1.760489665
158	0.4444420615	1.760425191
159	0.444521762	1.760245275
160	0.4515131016	1.759838326
161	0.4507074404	1.759704762
162	0.4549693392	1.75911856
163	0.4545592783	1.759022053
164	0.45671704	1.758968207
165	0.4566157892	1.758706784
166	0.4555832992	1.758666649
167	0.4562099424	1.758617788
168	0.4566347967	1.758617469
169	0.4564970775	1.758157056
170	0.4570779642	1.758092799
171	0.453652931	1.757694721
172	0.4526824152	1.757578553
173	0.4504894937	1.757380689
174	0.4509428969	1.757132238
175	0.4465259609	1.756890389
176	0.4451500699	1.756637889
177	0.4470414893	1.756428364
178	0.448959312	1.756161719
179	0.4497956628	1.756020303
180	0.4482617749	1.755953845
181	0.4470202846	1.755824281
182	0.4483819189	1.755713232
183	0.4483591846	1.755706274
184	0.4482388806	1.75553698
185	0.4478448823	1.755416399
186	0.4499200316	1.75521196
187	0.4478490316	1.755028928
188	0.4449229465	1.754571387
189	0.4445255537	1.754547281
190	0.4434658391	1.754268036
191	0.4499474159	1.753969163
192	0.4510001326	1.753901023
193	0.4472945382	1.753669107
194	0.4490480864	1.753394891
195	0.4475991545	1.75332377
196	0.4458644886	1.753282592
197	0.4462973243	1.752987746
198	0.4483976804	1.752646265
199	0.448779157	1.752557862
200	0.4485568873	1.752428433
201	0.4493025694	1.752238823
202	0.4519099549	1.751985228
203	0.4523592474	1.751867551
204	0.4518230264	1.751691123
205	0.4522475134	1.751690825
206	0.453078401	1.751464012
207	0.4557256505	1.751328526
