iter	TotalF1	MultiClass
0	0.138670595	1.791596422
1	0.138670595	1.791596411
2	0.2285501172	1.791020199
3	0.2400179617	1.790914823
4	0.2506590294	1.790660651
5	0.2617256221	1.790277336
6	0.2725337997	1.790048061
7	0.2824544199	1.789824769
8	0.2840660983	1.789764806
9	0.286893926	1.78966753
10	0.2902003414	1.789531632
11	0.2996376901	1.789231155
12	0.2971144467	1.788962731
13	0.2970153391	1.788853515
14	0.3088148582	1.788556648
15	0.3110742374	1.78848549
16	0.3160580721	1.788307002
17	0.3160820021	1.788193593
18	0.3141629042	1.787932782
19	0.3127200779	1.787850505
20	0.3284615174	1.787338057
21	0.3196938942	1.787180965
22	0.3287334408	1.786992403
23	0.330139741	1.786645082
24	0.3299013898	1.786480507
25	0.3358504837	1.786265991
26	0.3413882236	1.786003278
27	0.3492381085	1.785811175
28	0.3480508815	1.785742326
29	0.3496596883	1.785597987
30	0.3477318767	1.785295414
31	0.3489122418	1.785254555
32	0.3492402796	1.785170402
33	0.3493624697	1.785035059
34	0.3484216841	1.784931628
35	0.3513441881	1.784828374
36	0.3513969465	1.78480294
37	0.3490821026	1.784601001
38	0.3464435046	1.78438938
39	0.3459981499	1.784346363
40	0.3459478506	1.784097837
41	0.3462824354	1.784014164
42	0.3511712698	1.783867965
43	0.357054973	1.783397751
44	0.359898967	1.783227687
45	0.359219031	1.783035312
46	0.3588773473	1.783005242
47	0.3634128064	1.782872399
48	0.3626198459	1.782872304
49	0.3685505341	1.782489683
50	0.3670124843	1.78241209
51	0.3732254891	1.78223926
52	0.3734277904	1.782058122
53	0.3704148547	1.781977926
54	0.3783988577	1.781793963
55	0.3755564578	1.781698137
56	0.3734431142	1.78153953
57	0.3750192626	1.781243347
58	0.3756921271	1.78124324
59	0.376447486	1.781243136
60	0.3750596105	1.780935367
61	0.3788232372	1.780770838
62	0.3832280977	1.780477973
63	0.3797649864	1.780232189
64	0.3789367903	1.780215914
65	0.3810411088	1.780056707
66	0.3873924501	1.779890499
67	0.3909975799	1.779793232
68	0.388011339	1.779626166
69	0.3881276646	1.77955377
70	0.3889018211	1.779478894
71	0.3899086751	1.779458185
72	0.3910294645	1.779175115
73	0.3976956055	1.778810602
74	0.3914759554	1.778524768
75	0.3927326947	1.77848038
76	0.3897719156	1.778214996
77	0.3868489312	1.778073133
78	0.3872445343	1.777880258
79	0.3875640526	1.777869753
80	0.4011606312	1.777385812
81	0.4021745013	1.776897233
82	0.4022928305	1.776869225
