iter	Passed	Remaining
0	43	175299
1	54	109140
2	98	131274
3	141	141696
4	190	152409
5	240	160381
6	295	168728
7	345	172507
8	391	173755
9	444	177263
10	497	180258
11	543	180750
12	592	181768
13	628	178894
14	674	179163
15	721	179597
16	764	179142
17	808	178915
18	854	178937
19	901	179442
20	951	180341
21	1000	180840
22	1049	181541
23	1100	182281
24	1151	183062
25	1201	183640
26	1318	194008
27	1372	194724
28	1419	194369
29	1468	194396
30	1516	194208
31	1560	193551
32	1607	193263
33	1657	193323
34	1704	193106
35	1747	192386
36	1792	191972
37	1836	191484
38	1880	190990
39	1925	190601
40	1968	190111
41	2013	189784
42	2067	190230
43	2111	189825
44	2152	189147
45	2193	188584
46	2219	186654
47	2259	186023
48	2268	182926
49	2309	182419
50	2355	182351
51	2398	182129
52	2447	182294
53	2492	182135
54	2541	182314
55	2574	181325
56	2619	181186
57	2665	181191
58	2676	178752
59	2681	176056
60	2726	176076
61	2775	176276
62	2818	176148
63	2864	176159
64	2883	174566
65	2926	174421
66	2968	174279
67	3012	174165
68	3056	174156
69	3100	174096
70	3145	174090
71	3165	172705
72	3209	172648
73	3256	172769
74	3300	172749
75	3343	172648
76	3390	172718
77	3443	173145
78	3500	173762
79	3517	172344
80	3566	172575
81	3616	172790
82	3636	171616
83	3681	171627
84	3729	171788
85	3756	170957
86	3807	171245
87	3861	171664
88	3917	172134
89	3933	170882
90	3951	169749
91	4005	170152
92	4058	170490
93	4090	169988
94	4148	170535
95	4204	170980
96	4259	171378
97	4317	171922
98	4372	172295
99	4425	172589
100	4476	172827
101	4534	173290
102	4670	176693
103	4736	177440
104	4767	176853
105	4843	177936
106	4904	178429
107	4955	178579
108	5002	178588
109	5043	178349
110	5089	178319
111	5142	178505
112	5198	178809
113	5251	179001
114	5303	179176
115	5353	179246
116	5401	179277
117	5455	179463
118	5503	179482
119	5552	179518
120	5569	178542
121	5616	178543
122	5669	178690
123	5725	178978
124	5774	179012
125	5827	179180
126	5878	179259
127	5926	179282
128	5977	179365
129	6025	179371
130	6075	179421
131	6140	179922
132	6213	180652
133	6275	181058
134	6335	181377
135	6383	181360
136	6432	181374
137	6477	181274
138	6521	181155
139	6567	181072
140	6612	180981
141	6623	179941
142	6664	179743
143	6683	178967
144	6729	178906
145	6776	178893
146	6792	178040
147	6843	178114
148	6871	177610
149	6896	177010
150	6939	176896
151	6989	176935
152	7040	177035
153	7086	176968
154	7132	176942
155	7179	176911
156	7222	176779
157	7266	176706
158	7313	176670
159	7323	175754
160	7362	175566
161	7414	175655
162	7459	175589
163	7503	175518
164	7549	175460
165	7591	175340
166	7636	175262
167	7691	175448
168	7737	175391
169	7782	175325
170	7814	174980
171	7856	174861
172	7903	174830
173	7953	174883
174	8006	175003
175	8055	175030
176	8066	174223
177	8075	173389
178	8117	173274
179	8158	173146
180	8202	173063
181	8248	173032
182	8262	172343
183	8303	172213
184	8352	172250
185	8400	172246
186	8447	172239
187	8489	172141
188	8532	172043
189	8574	171939
190	8619	171892
191	8669	171953
192	8714	171903
193	8761	171884
194	8803	171788
195	8850	171777
196	8902	171853
197	8921	171306
198	8963	171203
199	9007	171144
200	9048	171028
201	9067	170478
202	9108	170370
203	9153	170333
204	9200	170318
205	9243	170241
206	9295	170319
207	9341	170304
208	9386	170258
209	9433	170254
210	9476	170181
211	9521	170129
212	9565	170060
213	9610	170033
214	9634	169618
215	9677	169532
216	9690	168931
217	9731	168830
218	9774	168755
219	9798	168358
220	9841	168284
221	9886	168257
222	9928	168153
223	9953	167787
224	9995	167707
225	10042	167694
226	10087	167665
227	10135	167674
228	10145	167062
229	10186	166962
230	10231	166940
231	10289	167115
232	10351	167358
233	10396	167323
234	10421	166972
235	10467	166941
236	10509	166862
237	10551	166790
238	10601	166821
239	10645	166772
240	10689	166728
241	10728	166600
242	10772	166558
243	10817	166516
244	10862	166482
245	10907	166446
246	10950	166387
247	10999	166415
248	11014	165928
249	11058	165878
250	11103	165839
251	11146	165776
252	11190	165738
253	11236	165714
254	11246	165166
255	11255	164611
256	11296	164528
257	11344	164538
258	11394	164583
259	11441	164581
260	11495	164676
261	11539	164640
262	11586	164628
263	11631	164608
264	11642	164090
265	11685	164040
266	11735	164081
267	11785	164121
268	11830	164085
269	11876	164064
270	11923	164075
271	11972	164099
272	12019	164096
