iter	TotalF1	MultiClass
0	0.1117335031	1.791661209
1	0.1629030283	1.791466116
2	0.1619982729	1.79145605
3	0.19167556	1.79137336
4	0.2040873877	1.791183047
5	0.2040873877	1.791183043
6	0.2351075297	1.790883717
7	0.2447358714	1.790598875
8	0.244711019	1.790598868
9	0.2486537801	1.790447462
10	0.243654509	1.790336197
11	0.2446330579	1.790319131
12	0.2566502387	1.789913392
13	0.255799267	1.789853748
14	0.2463882985	1.789772157
15	0.2512661635	1.789711998
16	0.2521251086	1.789695983
17	0.2522821517	1.7895454
18	0.2563661757	1.789511745
19	0.2574148739	1.789483692
20	0.2553394839	1.789240077
21	0.2600436062	1.789116469
22	0.2639842053	1.78885062
23	0.2727089997	1.78854133
24	0.2834743243	1.788168684
25	0.2842302258	1.788024766
26	0.291156349	1.787813911
27	0.2911456479	1.787684471
28	0.3008842814	1.787337693
29	0.3012934411	1.787283912
30	0.3048358273	1.787136474
31	0.3025538662	1.786749623
32	0.3037323378	1.786628071
33	0.3113651794	1.786520299
34	0.3131836898	1.786432491
35	0.3186171844	1.786135688
36	0.3195729741	1.786084825
37	0.3212759893	1.786032912
38	0.3227621166	1.785960305
39	0.327717513	1.7855683
40	0.3291925414	1.785407522
41	0.3327296248	1.785051897
42	0.3413994372	1.784822929
43	0.3447071989	1.784627355
44	0.3454771385	1.784466779
45	0.3459874355	1.784443277
46	0.3470198479	1.784192664
47	0.3421922224	1.783958806
48	0.3393987936	1.783614258
49	0.3407464266	1.783586554
50	0.3403170394	1.783582494
51	0.3463644692	1.78336436
52	0.3411680765	1.783217104
53	0.3382351088	1.783145957
54	0.3436549752	1.782950508
55	0.3420578022	1.782868232
56	0.34106921	1.782793986
57	0.3462075562	1.78236747
58	0.3500371892	1.782222024
59	0.3513798723	1.781798881
60	0.3536864112	1.781719216
61	0.3515985436	1.781669907
62	0.355984236	1.781365081
63	0.3561345879	1.781275279
64	0.3531372467	1.781246168
65	0.3559705778	1.781180768
66	0.3556391909	1.781125283
67	0.355562513	1.781038512
68	0.356919836	1.78081176
69	0.3543300557	1.780525837
70	0.3603971699	1.780363548
71	0.36048004	1.780299172
72	0.3634859716	1.779961301
73	0.3641393879	1.779961146
74	0.3628736873	1.779934662
75	0.3662853539	1.779891751
76	0.3677294819	1.779804203
77	0.3654831318	1.779615543
78	0.3638961808	1.779562986
79	0.3705327354	1.779435725
80	0.3722643608	1.779218281
81	0.3794696735	1.778851736
82	0.3792439786	1.778262075
83	0.3834025443	1.778147237
84	0.3842173587	1.777938373
85	0.389891732	1.777422113
86	0.3895200168	1.777209774
87	0.3900742758	1.777141565
88	0.3937479457	1.776951435
89	0.3905715843	1.77688335
90	0.3893087238	1.776631836
91	0.3938219136	1.776551141
92	0.3871020966	1.776298222
93	0.3849947024	1.776236856
94	0.3868980094	1.776177611
95	0.3838632397	1.776085598
96	0.3867066595	1.775866046
97	0.3877511626	1.775765808
98	0.3875723179	1.775661872
99	0.3877745147	1.775596544
100	0.3903988356	1.775504866
101	0.3893246907	1.775445203
102	0.3904606542	1.775132974
103	0.3881880266	1.775049019
104	0.39071338	1.774901031
105	0.3911489364	1.77483489
106	0.39072037	1.774680857
107	0.3909681761	1.774543205
108	0.3941229477	1.774395874
109	0.3958773159	1.774123612
110	0.3974441482	1.774049348
111	0.3967117996	1.773988473
112	0.3971007759	1.773977013
113	0.3959579778	1.773891622
114	0.3948880836	1.773783303
115	0.3946083035	1.773703222
116	0.3919019195	1.773597108
117	0.3945482448	1.773392728
118	0.3918908001	1.773240023
119	0.3942082109	1.773102509
120	0.3970783306	1.773043911
121	0.399330323	1.772727147
122	0.401008956	1.772654778
123	0.3997103733	1.772572929
124	0.4019949239	1.772375904
125	0.403306119	1.772256451
126	0.403306119	1.772243519
127	0.4014812912	1.77214091
128	0.4008536306	1.772056648
129	0.4028938574	1.771689806
130	0.4010824171	1.771482068
131	0.400689728	1.771389657
132	0.4021087111	1.771124635
133	0.4034203789	1.770912576
134	0.4014781693	1.770862341
135	0.3999427563	1.770762456
136	0.4006072991	1.770698085
137	0.4005865205	1.770625058
138	0.4014169451	1.77049966
139	0.4023020815	1.770104398
140	0.4059505912	1.769809054
141	0.4057209072	1.769795341
142	0.4057309364	1.769718096
143	0.4063431714	1.769587752
144	0.4067211131	1.769337681
145	0.4067707184	1.769156841
146	0.4051346467	1.7689703
147	0.4071449847	1.768838645
148	0.4094912699	1.768630039
149	0.4132445892	1.768392215
150	0.409233285	1.768305043
151	0.4086628001	1.768163163
152	0.4082305224	1.767989021
153	0.4083297726	1.767934909
154	0.408852615	1.767934603
155	0.4150358582	1.767782072
156	0.4139000315	1.767733592
157	0.4260037499	1.767282343
158	0.4237758268	1.767109245
159	0.4230215169	1.76706645
160	0.4231595073	1.766905453
161	0.4264324263	1.766515677
162	0.426624182	1.766451501
163	0.4303034861	1.766234232
164	0.4308644488	1.766202286
