iter	MultiClass
523	0.771067246
524	0.770440459
525	0.7698053068
526	0.7692095399
527	0.7686172243
528	0.7682501596
529	0.7676403877
530	0.7669704029
531	0.7661882372
532	0.7657833133
533	0.765133879
534	0.7645362282
535	0.7637006313
536	0.7630572601
537	0.7624443179
538	0.7619990677
539	0.7614238804
540	0.7606982142
541	0.7601309143
542	0.7596463762
543	0.7592815934
544	0.7585239125
545	0.7577461006
546	0.7573147158
547	0.7565974071
548	0.7560362578
549	0.7553753992
550	0.754809412
551	0.7542642811
552	0.7535841586
553	0.7529729691
554	0.7525415889
555	0.7520202795
556	0.751845417
557	0.7513654181
558	0.7510281659
559	0.7507131637
560	0.7500628473
561	0.7497091738
562	0.7492531215
563	0.7487876508
564	0.7481023471
565	0.7473863187
566	0.7470758429
567	0.7465362444
568	0.7461239849
569	0.7456752019
570	0.7450945958
571	0.7446203901
572	0.743918737
573	0.7431755791
574	0.7425380086
575	0.7420268488
576	0.7414133461
577	0.7406606828
578	0.7399389348
579	0.7392146384
580	0.738923598
581	0.7382906316
582	0.7376095848
583	0.7372951385
584	0.7366746605
585	0.7364582426
586	0.7358858162
587	0.7354102539
588	0.7346642881
589	0.7340282908
590	0.7335284448
591	0.7331066429
592	0.7325084443
593	0.7320691681
594	0.7315671159
595	0.731277171
596	0.7309177407
597	0.7303399575
598	0.7298555381
599	0.7294707489
