iter	TotalF1	MultiClass
0	0.07205561025	1.791717783
1	0.2185305114	1.791244433
2	0.2194527799	1.791207282
3	0.2334146118	1.790858489
4	0.2426153655	1.790645073
5	0.2513909749	1.790554867
6	0.2669246183	1.790257575
7	0.2620636703	1.790208695
8	0.2888217481	1.789849466
9	0.3107657505	1.789350048
10	0.3017242972	1.789207586
11	0.3161414311	1.788805094
12	0.3207637584	1.788584335
13	0.319469664	1.788502783
14	0.3286915349	1.788165169
15	0.3281935096	1.788164009
16	0.3247198919	1.78782375
17	0.3247443278	1.787823719
18	0.3333598416	1.787372198
19	0.3460557673	1.786944428
20	0.3435503542	1.786917721
21	0.3404941554	1.786746181
22	0.3539965385	1.786174836
23	0.354674307	1.785929871
24	0.3558284743	1.78588939
25	0.3529236067	1.785855881
26	0.3526990648	1.785753654
27	0.359123298	1.785221902
28	0.3568891492	1.785132152
29	0.3613931699	1.784967583
30	0.3622246765	1.784967533
31	0.3645540056	1.784668788
32	0.371059004	1.784336503
33	0.3727260296	1.784315176
34	0.3693988046	1.784213784
35	0.3730675935	1.784015728
36	0.3792807283	1.78369061
37	0.3806200339	1.783403365
38	0.3825049534	1.783331105
39	0.3800130248	1.782930493
40	0.3864149671	1.782502653
41	0.3912605629	1.782225165
42	0.389902202	1.782104926
43	0.3878609041	1.781999944
44	0.3904828228	1.781670896
45	0.3920440551	1.781463108
46	0.3969965787	1.781095393
47	0.3967911339	1.781003497
48	0.4018466236	1.780720376
49	0.4036036552	1.780523022
50	0.4024544373	1.780382095
51	0.4016387255	1.780295276
52	0.397510355	1.780084609
53	0.4022468224	1.779959383
54	0.4013613332	1.779678932
55	0.4060450495	1.77953286
56	0.4014141548	1.779404418
57	0.405014384	1.779109512
58	0.4032087515	1.778655001
59	0.403885323	1.778525683
60	0.4076704196	1.778167336
61	0.4102077477	1.77773513
62	0.4090516204	1.777435778
63	0.415783009	1.777142999
64	0.4135659264	1.777009034
65	0.4157823215	1.776972557
66	0.4226076504	1.77642997
67	0.4235082099	1.776274515
68	0.428568543	1.775856291
69	0.4251187164	1.77538141
70	0.4230134521	1.775355614
71	0.4232893964	1.775210847
72	0.4245434156	1.775135341
73	0.4245251461	1.77500828
74	0.4264211233	1.774713113
75	0.4268817278	1.774636541
76	0.425243001	1.774452325
77	0.4251319131	1.774327791
78	0.4227410107	1.774196485
79	0.423688209	1.774104101
80	0.4238321329	1.774027656
81	0.423909833	1.773861645
82	0.4247809741	1.773804902
83	0.4285964637	1.773519954
