iter	TotalF1	MultiClass
0	0.191578182	1.791483786
1	0.2371533124	1.791124705
2	0.2425147528	1.791013863
3	0.2496224415	1.790782415
4	0.2503852291	1.790595749
5	0.2473779908	1.790553773
6	0.2507545708	1.790475765
7	0.2562472711	1.79022869
8	0.2558250196	1.790159038
9	0.2583737102	1.790124878
10	0.2614268388	1.789959155
11	0.2589386879	1.789905601
12	0.2632695613	1.789796532
13	0.2625764833	1.789690396
14	0.2702064421	1.789329968
15	0.2767780763	1.78927459
16	0.2930916738	1.78886916
17	0.2959531802	1.788815271
18	0.295430175	1.788534686
19	0.2998301035	1.788250988
20	0.3047696208	1.78803792
21	0.3060043708	1.78784392
22	0.3059469717	1.787734086
23	0.3010713918	1.78757483
24	0.3045257621	1.787482685
25	0.3121833766	1.787276495
26	0.3129653005	1.787276462
27	0.3160988067	1.787128084
28	0.309880765	1.786872185
29	0.3143371119	1.786734953
30	0.3169121888	1.786565234
31	0.3156868895	1.786468206
32	0.3154648676	1.786277984
33	0.3180309466	1.786196468
34	0.3211593031	1.786156966
35	0.3271105095	1.785909527
36	0.3244130407	1.785845075
37	0.3377511826	1.785450021
38	0.3379098263	1.785305406
39	0.3461346795	1.784966694
40	0.3479915885	1.784798166
41	0.3569341829	1.784538748
42	0.3544165936	1.784487106
43	0.3499756589	1.784321001
44	0.3532285563	1.784090749
45	0.3591640721	1.783923572
46	0.359074503	1.783905736
47	0.3539345287	1.783813437
48	0.3543131107	1.783803359
49	0.3554519297	1.783784586
50	0.3555458945	1.783604049
51	0.3632658598	1.783273617
52	0.3722141884	1.783076415
53	0.373440416	1.783036727
54	0.3719046442	1.782938167
55	0.3698335763	1.78286665
56	0.3710400616	1.782756394
57	0.3659818186	1.782399515
58	0.3664124355	1.782342694
59	0.3723947511	1.782050356
60	0.3692227359	1.78186206
61	0.3703419979	1.781774829
62	0.3690702837	1.781512861
63	0.3685287809	1.781501323
64	0.3664802377	1.781442395
65	0.3618776312	1.781188208
66	0.3634703031	1.781109823
67	0.3633909921	1.781109767
68	0.3676145973	1.780923707
69	0.365675017	1.780858266
70	0.3660313694	1.780787082
71	0.3655869221	1.780694764
72	0.364609222	1.780666396
73	0.3620406607	1.780483837
74	0.3608876739	1.780382527
